kind,name,status,seed,lr,rank,alpha,modules,objective,batch,horizon_epochs,planned_stop_epoch,data_file,data_sha256,n_examples,trainable,start,gpu,script_sha256,last_saved_step,trainer_script,kl_coefficient,role,dev_trajectory
training,sample_all_all16_lr5e5_s43,complete,43,5e-05,16,16,all,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,18464768,1788972563.3255017,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,392,train.py,0.0,experimental_training,e1:297;e2:297;e3:290;e4:291
training,teacher_all_all16_lr1e5_s43,complete,43,1e-05,16,16,all,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,18464768,1788973066.2488778,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,388,train.py,0.0,experimental_training,e1:291;e2:291;e3:290;e4:292
training,teacher_all_all16_lr5e5_s43,complete,43,5e-05,16,16,all,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,18464768,1788973560.6680372,1,0f50dff505394083520f34e660b4f516c3941e9be5298887f96b0e03a0c7c592,388,train.py,0.0,experimental_training,e1:298;e2:297;e3:303;e4:299
resumed_training,teacher_all_lr5e5_extended_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,8,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788976459.8884363,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,776,train.py,0.0,experimental_training,e5:294;e6:300;e7:307;e8:309
training,sample_all_lr1e5_s44,complete,44,1e-05,16,16,qkvo,token_mean,16,8,2,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,4358144,1788976865.069297,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,196,train.py,0.0,experimental_training,e1:295;e2:298
training,sample_all_lr1e5_s45,complete,45,1e-05,16,16,qkvo,token_mean,16,8,2,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,4358144,1788977080.119812,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,196,train.py,0.0,experimental_training,e1:300;e2:299
training,teacher32_all_qkvo16_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_all.jsonl,6558b65f1c6e288d22d947e01e259a6758f1e3096730de8ac3bf3003411537ac,1637,4358144,1788977303.737609,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:280;e2:276;e3:268;e4:265
training,teacher32_all_qkvo16_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_all.jsonl,6558b65f1c6e288d22d947e01e259a6758f1e3096730de8ac3bf3003411537ac,1637,4358144,1788977846.5561948,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:262;e2:265;e3:255;e4:249
training,teacher32_all_all16_lr1e5_s43,complete,43,1e-05,16,16,all,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_all.jsonl,6558b65f1c6e288d22d947e01e259a6758f1e3096730de8ac3bf3003411537ac,1637,18464768,1788978392.8975015,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:275;e2:271;e3:260;e4:269
training,teacher32_all_all16_lr5e5_s43,complete,43,5e-05,16,16,all,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_all.jsonl,6558b65f1c6e288d22d947e01e259a6758f1e3096730de8ac3bf3003411537ac,1637,18464768,1788979052.069544,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:265;e2:271;e3:253;e4:269
training,teacher_all_lr5e5_s44,complete,44,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788979708.754533,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:304
training,teacher_all_lr5e5_s45,complete,45,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788980117.3520505,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:298
training,sample_augmented_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_augmented.jsonl,50907b8970a9888441d9da6dac67ed12c5d321a380de48e3ba85d0fbdb571d8f,1576,4358144,1788980529.333043,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,396,train.py,0.0,experimental_training,e1:300;e2:299;e3:298;e4:296
training,sample_augmented_lr1e5_s43_serial_replay,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_augmented.jsonl,50907b8970a9888441d9da6dac67ed12c5d321a380de48e3ba85d0fbdb571d8f,1576,4358144,1788983655.5900962,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,396,train.py,0.0,numerical_replay_control,e1:300;e2:299;e3:298;e4:296
training,teacher_math7_all_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_math7_all.jsonl,5084a48498f63fdd594703d37ef00e1f004a3afbd3ff6e43a9a68f01dc39a965,1607,4358144,1788984070.0671065,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,404,train.py,0.0,experimental_training,e1:299;e2:295;e3:314;e4:303
training,teacher_math7_all_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_math7_all.jsonl,5084a48498f63fdd594703d37ef00e1f004a3afbd3ff6e43a9a68f01dc39a965,1607,4358144,1788984517.005802,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,404,train.py,0.0,experimental_training,e1:300;e2:291;e3:296;e4:298
training,sample_augmented_rawhard_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_augmented_rawhard.jsonl,cfd235bdbfd77ba25c7bece8e232a40c6f08712add9fadadabfbbc3bd940a191,1576,4358144,1788984964.025453,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,396,train.py,0.0,experimental_training,e1:294;e2:294;e3:286;e4:288
training,sample_greedy_budget_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_greedy_budget.jsonl,c410f0abbba97f71c3bf37897432f07d0191be2bb0dce2c88fbb7db77f154464,1576,4358144,1788987931.9632332,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,396,train.py,0.0,experimental_training,e1:300;e2:309;e3:297;e4:296
training,nll_noguided_min_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/nll_noguided_min.jsonl,4024cccee5b77080b7fdc6cc2f75dd477eaefd27c42fe95f3a29e1674378a624,1758,4358144,1788988552.6504393,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,440,train.py,0.0,experimental_training,e1:299;e2:292;e3:293;e4:305
training,nll_noguided_random_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/nll_noguided_random.jsonl,c01e578c13023c94b58aa9e2f4b4f6bb11e9f9a5958f5d1b59d2b72e31799c61,1758,4358144,1788989493.385092,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,440,train.py,0.0,experimental_training,e1:300;e2:298;e3:288;e4:298
training,teacher_all_lr5e5_s46,complete,46,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788990436.3519094,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:308
training,teacher_all_lr5e5_s47,complete,47,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788990886.5299299,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:306
training,nll_noguided_min_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/nll_noguided_min.jsonl,4024cccee5b77080b7fdc6cc2f75dd477eaefd27c42fe95f3a29e1674378a624,1758,4358144,1788991282.4218016,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,440,train.py,0.0,experimental_training,e1:300;e2:300;e3:307;e4:292
training,nll_noguided_random_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/nll_noguided_random.jsonl,c01e578c13023c94b58aa9e2f4b4f6bb11e9f9a5958f5d1b59d2b72e31799c61,1758,4358144,1788991816.5214367,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,440,train.py,0.0,experimental_training,e1:303;e2:306;e3:301;e4:303
training,sample_matchedraw_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_raw.jsonl,3d58095de7e01f8cbdae734295a68f77f7895471b4bd56493a391eeec0981600,1563,4358144,1788992366.2388034,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,392,train.py,0.0,experimental_training,e1:192;e2:183;e3:169;e4:182
training,teacher_matchedraw_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_raw.jsonl,5ffa8836c98f69e48fca0ab5f46daf1493c6c3b62c8fc0e6ecb9fdd2fc2a2b03,1547,4358144,1788992702.5712478,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:182;e2:178;e3:181;e4:172
training,sample_all_shortcos2_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,2,2,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_all.jsonl,cd02dccbd429a822e3ccf78a019fc38286949aac0cd51a45fc61cf816085a1e0,1563,4358144,1788993030.271782,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,196,train.py,0.0,experimental_training,e1:291;e2:302
training,teacher_all_shortcos4_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,4,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1788993244.622461,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:295
training,teacher32_plain_markup_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_plain_markup.jsonl,09ed1f150c7a2cb59852143a0e9f32a9308b6807aa1102e3a46b716360e694ab,1637,4358144,1788993641.0571756,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:285;e2:272;e3:266;e4:272
training,teacher32_plain_markup_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_plain_markup.jsonl,09ed1f150c7a2cb59852143a0e9f32a9308b6807aa1102e3a46b716360e694ab,1637,4358144,1788994165.3110874,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:269;e2:273;e3:255;e4:268
training,sample_expansion_combined_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_expansion_combined.jsonl,90a57a818a0544fc5a1ce62f29602a52791fee7860b11ef677736cdb13a7a317,4149,4358144,1788996547.5513632,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,1040,train.py,0.0,experimental_training,e1:300;e2:296;e3:290;e4:296
training,sample_expansion_repeat_control_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_expansion_repeat_control.jsonl,077e85d3a9d6b2f9a5a2231dfbfb51a0fc088eb5e7d5af42b177eaa4f1be778e,4149,4358144,1788997570.619669,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,1040,train.py,0.0,experimental_training,e1:299;e2:296;e3:301;e4:309
training,teacher7_expansion_combined_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher7_expansion_combined.jsonl,36e8c84d3c1000d98ad187df51da84cbee1ef5e5d460d98f1d72a2d9c362c209,4145,4358144,1788998606.108291,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,1040,train.py,0.0,experimental_training,e1:297;e2:299;e3:306;e4:300
training,teacher7_expansion_repeat_control_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher7_expansion_repeat_control.jsonl,f46908acec7d0c397b97e75394f266a5329c875fd55e3092993fe944b227e6d2,4145,4358144,1788999619.663711,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,1040,train.py,0.0,experimental_training,e1:308;e2:297;e3:302;e4:289
training,teacher7_expansion_rawnew_control_lr5e5_s43,complete,43,5e-05,16,16,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher7_expansion_rawnew_control.jsonl,edbb1324fbea4c0451f22400438d758a2d9a771b2df38a7c3b725f620c354071,4145,4358144,1789000638.4713922,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,1040,train.py,0.0,experimental_training,e1:282;e2:283;e3:272;e4:280
training,teacher_all_qkvo64_lr1e5_s43,complete,43,1e-05,64,64,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,17432576,1789001537.3158271,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:297
training,teacher_all_qkvo64_lr5e5_s43,complete,43,5e-05,64,64,qkvo,token_mean,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,17432576,1789001938.8095198,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,388,train.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:308
training,teacher_all_dftkl0_lr5e5_s43,complete,43,5e-05,16,16,qkvo,dft,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1789002343.2533622,1,22bb7f618589da710b0fce9d05737d3dfc2f213e4d5c2afa9d7195d55842733c,388,train_anchored.py,0.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:282
training,teacher_all_dftkl1_lr5e5_s43,complete,43,5e-05,16,16,qkvo,dft,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1789002744.0192692,1,22bb7f618589da710b0fce9d05737d3dfc2f213e4d5c2afa9d7195d55842733c,388,train_anchored.py,1.0,experimental_training,e1:pending;e2:pending;e3:pending;e4:300
training,teacher_all_dftkl01_lr5e5_s43,complete,43,5e-05,16,16,qkvo,dft,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher_all.jsonl,7cd1daa1092fb5d30c136f9aae09c3bee43888f48f6766bb796af58cdfb9df6d,1547,4358144,1789003279.7801657,1,22bb7f618589da710b0fce9d05737d3dfc2f213e4d5c2afa9d7195d55842733c,388,train_anchored.py,0.1,experimental_training,e1:pending;e2:pending;e3:pending;e4:297
training,sample_multi_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,2,1,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_multi.jsonl,c831b7c635491a0c3c54e939b77f50fc6876314249c797015431a5cab25dc683,6252,4358144,1789003819.26514,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,391,train.py,0.0,experimental_training,e1:295
training,sample_repeat_lr1e5_s43,complete,43,1e-05,16,16,qkvo,token_mean,16,2,1,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/sample_repeat.jsonl,75966494e88444fd9bb50f996ee89012913e22dec1bce35ca9f3a13cd4868882,6252,4358144,1789004222.9596179,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,391,train.py,0.0,experimental_training,e1:294
training,teacher32_all_qkvo16_dft_lr1e5_s43,complete,43,1e-05,16,16,qkvo,dft,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_all.jsonl,6558b65f1c6e288d22d947e01e259a6758f1e3096730de8ac3bf3003411537ac,1637,4358144,1789004621.1029313,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:298;e2:238;e3:240;e4:268
training,teacher32_all_qkvo16_dft_lr5e5_s43,complete,43,5e-05,16,16,qkvo,dft,16,8,4,/mnt/micron/yixiaore/adapter/research/sft_generalization_20260909/data/teacher32_all.jsonl,6558b65f1c6e288d22d947e01e259a6758f1e3096730de8ac3bf3003411537ac,1637,4358144,1789005161.4666252,1,845579c65e6e037942a52f560eb79d0b910c4ca385cc78b69874dedac501c31c,412,train.py,0.0,experimental_training,e1:265;e2:251;e3:262;e4:272
